qt6-charts 6.11.2-1
qt6-datavis3d 6.11.2-1
qt6-doc 6.11.2-1
qt6-examples 6.11.2-1
qt6-graphs 6.11.2-1
qt6-grpc 6.11.2-4
qt6-httpserver 6.11.2-1
qt6-imageformats 6.11.2-1
qt6-languageserver 6.11.2-1
qt6-location 6.11.2-1
qt6-lottie 6.11.2-1
qt6-networkauth 6.11.2-1
qt6-quick3d 6.11.2-1
qt6-quick3dphysics 6.11.2-1
qt6-quickeffectmaker 6.11.2-1
qt6-quicktimeline 6.11.2-1
qt6-remoteobjects 6.11.2-1
qt6-scxml 6.11.2-1
qt6-sensors 6.11.2-1
qt6-serialbus 6.11.2-1
qt6-serialport 6.11.2-1
qt6-speech 6.11.2-1
qt6-virtualkeyboard 6.11.2-1
qt6ct 0.11-8
quickshell 0.3.1-1
rclone 1.75.1-1
reflector 2023-5
ripgrep 15.2.0-1
rsync 3.5.0-1
rust-analyzer 20260907-1
rustup 1.29.1-1
sbctl 0.18-2
sbsigntools 0.9.5-4
scrcpy 4.1-2
sdl2_mixer 2.8.2-1
sdl2_ttf 2.24.0-2
sdl3_ttf 3.2.2-3
sdparm 1.12-1
seahorse 1:47.0.1-6
shim 16.1-1
sl 5.05-6
slade 3.2.12-1.1
smartmontools 7.5-1
sof-firmware 2025.12.2-1
sshfs 3.7.6-1
steam 1.0.0.87-3
stow 2.4.1-1
subversion 1.14.5-5
tectonic 0.17.0-1
terminus-font 4.49.1-8
thunderbird 155.0.1-1
tinyxxd 1.3.16-1
tmux 3.7_c-1
totem 43.2-6
touchegg 2.0.18-1
traceroute 2.1.6-1
trash-cli 0.24.5.26-3
tree 2.3.2-1
ttf-fantasque-nerd 3.5.1-2
ttf-hack-nerd 3.5.1-2
ttf-jetbrains-mono 2.304-2
ttf-jetbrains-mono-nerd 3.5.1-2
ttf-ms-fonts 2.0-12.1
tty-clock 2.3-2
ueberzug 18.3.2-1
ultimate-doom-builder-git 3.0.0.4327.164c204-1
vesktop 1.6.7-1
virt-manager 5.1.0-4
virt-viewer 11.0-4
vlc 3.0.23_2-14
vulkan-intel 1:26.2.2-1
vulkan-radeon 1:26.2.2-1
wabt 1.0.41-1
wget 1.25.0-6
wimlib 1.14.5-3
wine-staging 11.17-1
winetricks 20260125-2
wireless_tools 30.pre9-5
wireplumber 0.5.17-1
wl-clip-persist 0.5.0-2
wmctrl 1.07-6
woff2-font-awesome 7.3.1-1
wtype 0.4-2
xclip 0.13-6
xcur2png 0.7.1-9
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.4.1-2
xdg-desktop-portal-kde 6.7.5-1
xdg-desktop-portal-wlr 0.8.4-1
xdg-terminal-exec-git 0.14.3.r0.g065925d-1
xdotool 4.20260303.1-1
xf86-video-amdgpu 25.0.0-1
xf86-video-ati 1:22.0.0-3
xf86-video-nouveau 1.0.18-1
xorg-xev 1.2.7-1
xorg-xmodmap 1.0.12-1
yasm 1.3.0-9
yazi 26.9.1-2
yt-dlp 2026.08.19-1
zig 0.16.0-1
zoxide 0.10.0-1
zram-generator 1.2.1-1
